Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-0.8,0,0,0.0001,18.66987038,0.034600362,-18.615566,1.4225324,0.048309221
-0.8,0,0,0.00015,18.74590683,0.03448478,-18.623142,2.1415875,0.050290282
-0.8,0,0,0.0002,18.84912491,0.034334578,-18.630745,2.860707,0.053152304
-0.8,0,0,0.00025,18.97905731,0.03417817,-18.638353,3.5798402,0.05648799
-0.8,0,0,0.0003,19.13521957,0.034079704,-18.646004,4.299068,0.060156855
-0.8,0,0,0.00035,19.31698799,0.034049854,-18.653708,5.018369,0.064086624
-0.8,0,0,0.0004,19.5235157,0.034022875,-18.661432,5.737371,0.068231213
-0.8,0,0,0.00045,19.75444221,0.03401584,-18.669296,6.457106,0.0725629
-0.8,0,0,0.0005,20.00844002,0.033939548,-18.677183,7.1763053,0.07703995
-0.8,0,0,0.00055,20.28480721,0.03385553,-18.685108,7.895503,0.081634912
-0.8,0,0,0.0006,20.58267593,0.033761516,-18.69307,8.614786,0.086321955
-0.8,0,0,0.00065,20.90116501,0.033676725,-18.701082,9.334192,0.091080513
-0.8,0,0,0.0007,21.23928452,0.033615954,-18.709108,10.053621,0.095894894
-0.8,0,0,0.00075,21.5961628,0.033560883,-18.717209,10.773077,0.100753609
-0.8,0,0,0.0008,21.97082329,0.033497605,-18.725317,11.492538,0.105648218
-0.8,0,0,0.00085,22.36240387,0.033459853,-18.733442,12.212049,0.110572498
-0.8,0,0,0.0009,22.77018547,0.033474322,-18.741648,12.931776,0.115521801
-0.8,0,0,0.00095,23.19316292,0.033518102,-18.749893,13.651489,0.120492595
-0.8,0,0,0.001,23.63049126,0.033564895,-18.75815,14.37118,0.125482133
-0.6,0,0,-0.001,19.70676613,0.035751484,-13.585183,-14.275787,0.11852571
-0.6,0,0,-0.00095,19.20162773,0.03567589,-13.592568,-13.56257,0.113475019
-0.6,0,0,-0.0009,18.71005249,0.03560062,-13.599954,-12.84936,0.108441734
-0.6,0,0,-0.00085,18.23313713,0.035525862,-13.60734,-12.136157,0.103427378
-0.6,0,0,-0.0008,17.77205658,0.03545038,-13.614725,-11.422961,0.098434139
-0.6,0,0,-0.00075,17.32808113,0.035374608,-13.622111,-10.709772,0.093464772
-0.6,0,0,-0.0007,16.90255165,0.035299383,-13.629497,-9.99659,0.088522643
-0.6,0,0,-0.00065,16.49689484,0.035223868,-13.636882,-9.283413,0.083611951
-0.6,0,0,-0.0006,16.11261559,0.035148565,-13.644268,-8.570244,0.078738005
-0.6,0,0,-0.00055,15.7512722,0.03507336,-13.651653,-7.85708,0.073907753
-0.6,0,0,-0.0005,15.41448021,0.03499798,-13.6590395,-7.1439214,0.06913106
-0.6,0,0,-0.00045,15.10387897,0.034923006,-13.666425,-6.430768,0.064423899
-0.6,0,0,-0.0004,14.82111549,0.034847844,-13.673811,-5.7176166,0.059815086
-0.6,0,0,-0.00035,14.5678091,0.034772485,-13.681196,-5.0044727,0.055355629
-0.6,0,0,-0.0003,14.34552288,0.0346973,-13.688582,-4.291332,0.051107304
-0.6,0,0,-0.00025,14.15571404,0.034622446,-13.695969,-3.5781949,0.04711403
