Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-1,0,-0.001,0,25.05624962,0.013707256,-25.056202,-0.047185972,0.060612697
-1,0,-0.00095,0,25.03534508,0.013406733,-25.0353,-0.045772485,0.060512963
-1,0,-0.0009,0,25.01443863,0.013106197,-25.014397,-0.044359013,0.060414247
-1,0,-0.00085,0,24.9935379,0.012809545,-24.993498,-0.042940486,0.06031656
-1,0,-0.0008,0,24.97264481,0.012537478,-24.972607,-0.041524325,0.060219917
-1,0,-0.00075,0,24.95175552,0.012277787,-24.951721,-0.04010585,0.060124333
-1,0,-0.0007,0,24.93087196,0.012016684,-24.930838,-0.038688324,0.060029822
-1,0,-0.00065,0,24.9099865,0.011763835,-24.909956,-0.037265323,0.059936403
-1,0,-0.0006,0,24.88910294,0.011510793,-24.889074,-0.035842434,0.05984409
-1,0,-0.00055,0,24.86822128,0.011255208,-24.868196,-0.034423035,0.059752902
-1,0,-0.0005,0,24.84735298,0.011039282,-24.847328,-0.033002596,0.059662859
-1,0,-0.00045,0,24.82649803,0.010794961,-24.826475,-0.031615425,0.059573977
-1,0,-0.0004,0,24.80564499,0.010550614,-24.805624,-0.030228266,0.059486276
-1,0,-0.00035,0,24.78479004,0.010306243,-24.784771,-0.028841123,0.059399777
-1,0,-0.0003,0,24.763937,0.010061846,-24.76392,-0.027453996,0.059314502
-1,0,-0.00025,0,24.74308395,0.009817425,-24.743069,-0.026066886,0.059230471
-1,0,-0.0002,0,24.72223473,0.00957298,-24.72222,-0.02467979,0.059147707
-1,0,-0.00015,0,24.70137978,0.009328535,-24.701368,-0.023292596,0.059066234
-1,0,-1.00E-04,0,24.68053818,0.009067243,-24.680527,-0.021911493,0.058986078
-1,0,-5.00E-05,0,24.65970039,0.008791845,-24.65969,-0.020535516,0.058907264
-1,0,3.12E-19,0,24.63887405,0.008503132,-24.638866,-0.019186838,0.058829821
-1,0,5.00E-05,0,24.61805153,0.008216087,-24.618044,-0.017843641,0.058753778
-1,0,0.0001,0,24.59715652,0.007932354,-24.59715,-0.016497973,0.058678861
-1,0,0.00015,0,24.57640457,0.007637522,-24.576399,-0.015159338,0.058606025
-1,0,0.0002,0,24.55558777,0.007332265,-24.555584,-0.013824724,0.058534382
-1,0,0.00025,0,24.53477478,0.007026995,-24.534771,-0.012490114,0.058464277
-1,0,0.0003,0,24.51395988,0.00672171,-24.513956,-0.011155511,0.058395747
-1,0,0.00035,0,24.49315453,0.006413736,-24.49315,-0.00980214,0.058328832
-1,0,0.0004,0,24.47236252,0.006086743,-24.472359,-0.008410186,0.05826357
-1,0,0.00045,0,24.45158577,0.005786915,-24.451582,-0.007016551,0.058200002
-1,0,0.0005,0,24.43081093,0.005487317,-24.430809,-0.005612318,0.058138166
-1,0,0.00055,0,24.41003609,0.005187706,-24.410036,-0.004208102,0.058078103
-1,0,0.0006,0,24.38926506,0.004888081,-24.389265,-0.002803906,0.058019849
-1,0,0.00065,0,24.36849213,0.004588443,-24.368492,-0.001399727,0.057963444
-1,0,0.0007,0,24.3477211,0.004288789,-24.347721,4.43E-06,0.057908922
-1,0,0.00075,0,24.32695198,0.003989109,-24.326952,0.001408583,0.057856322
-1,0,0.0008,0,24.30618858,0.003714197,-24.306189,0.002815048,0.057805676
-1,0,0.00085,0,24.28543091,0.003449779,-24.28543,0.004222491,0.05775702
-1,0,0.0009,0,24.26467514,0.003185341,-24.264673,0.005629913,0.057710387
-1,0,0.00095,0,24.24391747,0.00292088,-24.243916,0.007037319,0.057665809
-1,0,0.001,0,24.2231617,0.002656394,-24.22316,0.008444699,0.05762332
-0.8,0,-0.001,0,18.95831299,0.039947778,-18.958227,-0.04137162,0.048901542
-0.8,0,-0.00095,0,18.94032478,0.03963285,-18.94024,-0.040100683,0.048796993
-0.8,0,-0.0009,0,18.92234039,0.039323773,-18.92226,-0.03881659,0.048693657
-0.8,0,-0.00085,0,18.90436363,0.039027892,-18.904287,-0.03751264,0.048591545
-0.8,0,-0.0008,0,18.88640022,0.038714066,-18.886326,-0.036186226,0.048490673
-0.8,0,-0.00075,0,18.86843491,0.038400322,-18.868364,-0.034859955,0.048391057
-0.8,0,-0.0007,0,18.8504982,0.038108177,-18.85043,-0.033521727,0.048292718
-0.8,0,-0.00065,0,18.83258438,0.037854042,-18.83252,-0.03219438,0.048195674
-0.8,0,-0.0006,0,18.81467819,0.03761133,-18.814615,-0.030884359,0.048099949
-0.8,0,-0.00055,0,18.79678917,0.037384644,-18.796728,-0.029600816,0.048005566
-0.8,0,-0.0005,0,18.77890396,0.037165035,-18.778847,-0.028326025,0.047912551
-0.8,0,-0.00045,0,18.76102448,0.03694539,-18.760967,-0.027051246,0.047820932
-0.8,0,-0.0004,0,18.7431488,0.036733188,-18.743095,-0.025762642,0.047730735
-0.8,0,-0.00035,0,18.72529793,0.036525533,-18.725246,-0.024474522,0.04764199
-0.8,0,-0.0003,0,18.70744705,0.03631769,-18.707397,-0.023186585,0.047554729
-0.8,0,-0.00025,0,18.68959618,0.036109786,-18.689548,-0.02189869,0.047468983
-0.8,0,-0.0002,0,18.67175293,0.035876486,-18.671707,-0.020609442,0.047384786
-0.8,0,-0.00015,0,18.65391159,0.03564011,-18.653868,-0.019319663,0.047302172
-0.8,0,-1.00E-04,0,18.63608551,0.03537054,-18.636044,-0.018059684,0.047221181
-0.8,0,-5.00E-05,0,18.61826706,0.035089664,-18.618227,-0.016816325,0.047141851
-0.8,0,3.12E-19,0,18.60045624,0.034831736,-18.600416,-0.015575911,0.047064225
-0.8,0,5.00E-05,0,18.58264732,0.03458253,-18.58261,-0.014336545,0.04698835
-0.8,0,0.0001,0,18.56484222,0.034329183,-18.564806,-0.013085417,0.046914276
