Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-1,0.00055,-0.00085,0.0001,26.2762394,8.080383,-24.962515,1.4216222,0.091781389
-1,-0.00095,0.00095,0.0004,28.68831444,-13.911985,-24.393673,5.867261,0.134058526
-1,0.0007,0.0003,-0.00075,28.61709023,10.268529,-24.343111,-10.995825,0.133568178
-1,-0.0007,0.00075,-0.0004,27.04265976,-10.250509,-24.329784,-5.8561125,0.112491154
-1,-0.00025,0.00025,-0.0008,27.3516655,-3.6577106,-24.435919,-11.731185,0.115442873
-1,-0.00055,-0.00015,-0.0006,27.39829826,-8.054849,-24.658918,-8.816115,0.113944493
-1,0.00075,-0.00065,-0.00065,28.72903061,11.015534,-24.748674,-9.566519,0.13110899
-1,-0.001,-0.0005,0.00075,31.02795219,-14.651394,-25.056961,10.96445,0.156343447
-1,0.0006,-0.00075,-0.00055,27.55510521,8.815655,-24.817324,-8.103616,0.114108615
-1,-0.00125,3.12E-19,0.0008,33.03812408,-18.312464,-24.881418,11.708385,0.179782895
-1,-0.00085,-0.001,0.00055,29.24804497,-12.4542885,-25.219624,8.019314,0.133246769
-1,0.001,0.00055,-0.0002,28.52997398,14.660931,-24.298254,-2.9345164,0.13370193
-1,-0.0002,0.00085,-1.00E-04,24.50670624,-2.9269416,-24.28744,-1.4601179,0.064123348
-1,-0.0001,0.0002,-0.00025,24.84265137,-1.4583234,-24.525784,-3.6764913,0.067635879
-1,-0.0005,0.0007,0.0009,28.80096245,-7.323576,-24.536367,13.1843605,0.133855054
-1,-0.0011,0.0009,-0.0003,29.49924469,-16.107224,-24.321276,-4.3861446,0.14486056
-1,-0.00075,0.0008,-5.00E-05,26.73744965,-10.983157,-24.366587,-0.7286072,0.10703158
-1,-0.00145,0.00015,0.001,35.83621216,-21.242336,-24.871517,14.6425705,0.207827502
-1,-0.0013,-0.00095,-0.00045,32.19846344,-19.056581,-25.088215,-6.645996,0.169526066
-1,-0.00105,0.00045,0.0002,29.14085197,-15.378762,-24.57906,2.9245079,0.137924154
-1,0.00095,0.001,-0.001,31.36388779,13.919848,-23.998932,-14.628143,0.168236555
-1,-0.0015,-1.00E-04,0.00065,34.56374359,-21.978336,-24.924387,9.506844,0.195143074
-1,0.0008,-0.0009,-0.0009,30.48082161,11.752688,-24.812729,-13.239459,0.152037747
